,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,Min,Index,,,,,s,f_x
11,1.10356683,3.494238097,2.21742132,1.645473451,1.858436687,0.545679111,0.99519917,1.425514582,1.063100439,0.925240311,1.235254113,0.628669529,5.112757021,2.363443609,0.991495435,1.135459787,1.265843904,0.702332158,1.21124861,17.03868511,1.60637891,2.140329713,2.066118423,0.830041268,11.93676317,2.080590205,1.266666819,1.242935769,0.095336102,0.260631073,0.162414284,0.113168752,0.13305902,0.099451331,0.202332016,0.045267501,0.104252428,0.092592618,0.071330609,0.122085081,0.871742209,0.305692767,0.133744891,0.15912213,0.080246936,0.141289476,0.120027467,0.126886181,1.855280923,0.254183825,0.251028874,0.148834058,0.131001406,0.1159115,2.295199035,0.550754606,0.075445836,0.036351177,0.129629665,0.036351177,58,,11,0,,45,107
12,1.233196511,3.316323435,1.916118194,1.473182563,1.212620373,1.884774152,1.193827419,1.106858846,0.77270249,1.136488641,0.881070142,0.76543231,6.371673906,3.750686732,1.630315977,1.198834336,0.756378646,1.014540636,1.809053953,9.994377267,3.385254483,1.511317196,0.735939843,0.838546121,8.925514707,1.333127616,1.017558517,1.134431045,0.083676292,0.289437665,0.208367661,0.084362164,0.094650234,0.090535004,0.152263416,0.099451331,0.135802506,0.12071334,0.117969853,0.15432103,1.011728556,0.519615986,0.179012393,0.12688618,0.064471898,0.100137201,0.0548697,0.085733905,1.794101608,0.438271724,0.253086488,0.108367656,0.106995914,0.0637855,5.83930109,0.39300422,0.115226368,0.076131707,0.113854626,0.0548697,47,,12,0,,53,103
13,0.972976896,2.678462878,1.998354127,1.507201593,1.12043923,1.031550342,1.187654579,1.068724467,1.055281442,0.870782075,1.00054881,0.831413003,6.587517023,2.135940008,1.85514442,1.202195106,1.090946731,1.026063375,1.221948157,10.69060358,3.853567034,3.397805926,1.129972813,1.079286923,4.326886129,2.053703737,0.713443152,1.485322724,0.082990421,0.244170161,0.28449937,0.073388222,0.137860122,0.111797013,0.135802507,0.096707847,0.106310042,0.170781939,0.074759964,0.091220875,0.464266091,0.343895754,0.187928721,0.099451329,0.09396436,0.060356669,0.133744893,0.113854627,2.982853376,0.473937031,0.188614593,0.1550069,0.078189321,0.0679005,9.522702672,0.347050848,0.111797014,0.115226368,0.095336103,0.060356669,46,,13,0,,58,95
14,0.814129171,3.308368063,2.254389769,1.458573607,0.995885054,0.807270463,0.822222264,0.973388363,1.175445973,1.082167486,0.654183837,0.817284123,6.159876483,2.424966207,1.917147233,1.065706709,0.930315524,1.125514704,1.069684752,6.187928325,2.359876834,1.1205764,1.484773901,1.226063375,7.342044088,1.988409062,1.275171685,1.060905484,0.117969853,0.294238762,0.2193416,0.146776443,0.076817579,0.133059021,0.082304549,0.064471897,0.090535004,0.122770953,0.081618677,0.117283983,1.01165994,0.408573449,0.34019213,0.194101561,0.104252429,0.117969854,0.130315536,0.134430764,2.048011325,0.372290883,0.146090573,0.193415689,0.112482884,0.11111,6.03161867,0.417009718,0.147462316,0.051440344,0.157064515,0.051440344,58,,14,0,,35,91
15,0.715912242,3.070232835,2.95013734,2.106104677,0.96707847,1.172565409,1.2349797,0.864609236,0.982990561,1.227846588,1.430727421,1.337586003,7.189712232,6.749521587,1.844033414,1.125240336,0.701646277,0.668175665,1.309739674,10.03059071,3.395885278,2.946228384,1.226337758,1.659808392,7.614608723,2.258985345,1.119753322,0.865980996,0.067215382,0.377229184,0.175445842,0.195473301,0.192043951,0.046639245,0.21536357,0.096021975,0.131687279,0.087791518,0.113854628,0.093278488,1.253429493,0.484910958,0.195473303,0.074074096,0.124828565,0.077503451,0.091220875,0.075445838,2.925309084,0.307133116,0.111797013,0.120027468,0.074074093,0.049383,10.14561038,0.301097475,0.150891673,0.085733905,0.122770954,0.046639245,34,,15,0,,34,88
16,0.743621495,3.044649672,2.544993366,1.544787586,0.996570926,1.133745188,0.801783476,1.281207491,0.479149601,1.00274376,1.212483037,0.905075637,7.793140572,4.851304305,1.754458668,1.137791794,1.183813752,0.907133252,1.101509217,10.8625519,1.805281288,2.72674947,1.440329596,1.306721774,6.654321111,1.665775169,1.072839678,0.843758702,0.067901253,0.283264822,0.193827164,0.121399209,0.149519933,0.112482885,0.239369064,0.090535003,0.141289476,0.106310042,0.129629664,0.136488378,0.904389635,0.516666699,0.145404702,0.143347091,0.087791519,0.092592617,0.08847739,0.063786025,1.249519953,0.32030187,0.243484291,0.048010988,0.148148188,0.130314,10.63367619,0.499314259,0.111797011,0.04938273,0.111111141,0.048010988,52,,16,0,,52,86
17,1.041289624,3.36879293,2.291426793,1.363511778,1.239232012,1.245679254,0.985459626,1.123182692,1.588889283,0.74183828,1.046776594,1.172565436,5.393758356,3.340398508,1.751715181,1.225651937,1.39026099,0.965843758,1.401646427,7.910287917,3.071879485,2.145885277,1.007270442,0.854046751,4.920233598,2.705898663,1.566255482,1.105075646,0.139231861,0.244856035,0.278326532,0.181070005,0.098765458,0.06584364,0.117283982,0.101508944,0.107681784,0.08299042,0.137174248,0.06652951,0.979492317,0.430315528,0.222908152,0.141975348,0.192043949,0.11042527,0.102194816,0.074759966,2.05363508,0.574485695,0.128943793,0.18861459,0.094650231,0.0665285,9.614403085,0.311385545,0.146090575,0.102194814,0.097393716,0.06584364,34,,17,0,,59,74
18,0.883264831,3.239986047,1.84245567,1.205486838,0.837448796,0.78847753,1.368313122,1.011111279,0.807818983,1.277503732,0.745267639,0.98230469,5.992935651,4.40075531,1.041564015,0.798079721,1.129629931,0.745267639,1.186008445,5.528326154,1.772633739,6.275378577,1.364540753,0.92935552,4.540946463,1.587585836,1.075583162,1.156104529,0.076817579,0.404664032,0.2887518,0.084362163,0.246913653,0.091220875,0.074074094,0.14334709,0.100823072,0.117969854,0.089849132,0.090535004,0.732098893,0.427915044,0.198902656,0.20438963,0.092592617,0.117969854,0.113854626,0.036351176,2.206721666,0.169135794,0.218107054,0.098079587,0.118655725,0.0576125,5.211316655,0.75925946,0.109053528,0.099451329,0.055555572,0.036351176,48,,18,0,,44,56
19,1.003429645,4.539986986,2.47798381,1.464677715,1.232922115,0.803978168,1.304938566,1.441701347,0.930452878,1.003429631,1.037723199,0.800823206,5.78189308,2.857545033,1.368038753,1.503635438,0.799451475,0.997668253,1.099177212,8.962071311,1.831275532,3.804321764,1.165020829,1.401920788,6.221124679,2.763648777,1.206584571,1.107407657,0.1049383,0.320301871,0.264334703,0.100823072,0.197530923,0.050068602,0.120027467,0.021262008,0.091220876,0.120027467,0.075445838,0.085048034,0.679286791,0.3808642,0.106310042,0.22085054,0.098079588,0.14334709,0.104252428,0.109739399,1.961042555,0.663923364,0.181755879,0.13786012,0.073388223,0.0781885,9.638751585,0.427983654,0.135116635,0.161865612,0.147462317,0.021262008,36,,19,0,,32,37
20,1.618107333,3.559670359,2.741564253,2.077092271,1.0329221,1.084088029,1.183813777,1.599177342,1.503155363,0.863923356,1.260082537,1.208916598,7.72215343,2.620919587,0.887654447,1.014677825,1.305624419,0.682853362,1.053635294,8.722634226,3.858299659,2.626475189,1.395884902,1.136625695,6.133333355,1.872634156,0.845404825,1.10000014,0.104938299,0.182441752,0.107681787,0.11659811,0.143347092,0.150891674,0.122085082,0.091220875,0.170096068,0.060356669,0.124142695,0.072702352,0.68244175,0.430589927,0.206447243,0.225651639,0.120027468,0.178326523,0.057613185,0.08299042,4.218176045,0.437448649,0.202332016,0.144718832,0.063100154,0.113168,5.790260797,0.430041269,0.105624171,0.074759965,0.152949288,0.057613185,47,,20,0,,33,29
