,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59
S23,0.0,1.0,1.0,1.0,0.58,0.33,0.12,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.95,0.16,0.0,0.0,0.0,1.0,1.0,1.0,-,0.0,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
S24,0.23,1.0,1.0,1.0,1.0,1.0,0.99,0.21,0.22,0.21,0.21,0.25,1.0,1.0,1.0,0.97,0.73,0.03,0.22,1.0,1.0,1.0,1.0,-,1.0,1.0,0.99,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
S25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.02,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0
S26,0.0,1.0,0.79,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.92,0.27,0.0,0.0,0.0,0.0,1.0,0.84,0.65,0.0,0.0,1.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0
S27,0.01,1.0,1.0,1.0,1.0,1.0,0.81,0.0,0.01,0.01,0.0,0.0,1.0,1.0,1.0,0.68,0.0,0.0,0.0,1.0,1.0,1.0,0.99,0.01,1.0,1.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
S28,0.21,1.0,1.0,1.0,1.0,1.0,0.93,0.22,0.21,0.23,0.24,0.25,1.0,1.0,1.0,0.95,0.29,0.09,0.19,1.0,1.0,1.0,1.0,0.21,1.0,1.0,1.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
S29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-,1.0,1.0,1.0,1.0,0.99,0.88,0.67,0.65,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.64,0.0,0.0,0.0,1.0,1.0,1.0,0.99,0.97,0.7,1.0,1.0,1.0,0.9,0.67
S30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.98,0.04,0.0,0.0,0.0,1.0,0.96,0.0,0.0,0.0
S31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.98,-,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.98,0.06,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.46,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
S32,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,-,0.86,0.03,0.02,0.01,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.66,0.0,0.01,0.01,0.0,1.0,1.0,1.0,0.04,0.02,0.01,1.0,1.0,0.83,0.02,0.01
