,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
10,50.0,50.0,49.0,49.0,45.0,40.0,42.0,39.0,28.0,50.0,50.0,49.0,47.0,39.0,30.0,50.0,49.0,39.0,36.0,33.0,50.0,44.0,39.0,30.0,47.0,36.0,36.0,31.0,43.0,39.0,39.0,35.0,46.0,29.0,42.0,38.0,26.0,36.0
11,50.0,50.0,49.0,49.0,45.0,40.0,40.0,34.0,26.0,50.0,50.0,45.0,44.0,38.0,35.0,50.0,45.0,41.0,35.0,28.0,49.0,43.0,34.0,24.0,48.0,41.0,28.0,32.0,46.0,41.0,37.0,31.0,41.0,29.0,41.0,30.0,36.0,39.0
12,50.0,50.0,49.0,50.0,47.0,43.0,38.0,36.0,25.0,50.0,50.0,46.0,44.0,41.0,34.0,50.0,47.0,47.0,34.0,25.0,48.0,41.0,37.0,29.0,47.0,42.0,36.0,34.0,47.0,41.0,40.0,35.0,39.0,29.0,38.0,32.0,40.0,37.0
13,50.0,50.0,48.0,47.0,47.0,41.0,41.0,32.0,28.0,50.0,50.0,45.0,42.0,38.0,32.0,50.0,48.0,42.0,34.0,28.0,49.0,45.0,40.0,33.0,48.0,42.0,35.0,31.0,46.0,39.0,40.0,36.0,37.0,32.0,40.0,36.0,37.0,36.0
14,50.0,50.0,50.0,47.0,39.0,44.0,42.0,31.0,33.0,50.0,50.0,47.0,40.0,34.0,36.0,50.0,45.0,45.0,37.0,29.0,50.0,48.0,42.0,28.0,49.0,41.0,33.0,37.0,46.0,38.0,42.0,32.0,42.0,29.0,42.0,35.0,35.0,31.0
15,50.0,50.0,49.0,49.0,42.0,41.0,40.0,33.0,27.0,50.0,50.0,47.0,42.0,43.0,31.0,50.0,47.0,42.0,36.0,26.0,50.0,48.0,38.0,35.0,43.0,47.0,31.0,27.0,48.0,41.0,37.0,37.0,44.0,27.0,41.0,34.0,39.0,40.0
16,50.0,50.0,48.0,48.0,44.0,41.0,37.0,39.0,35.0,50.0,50.0,47.0,43.0,41.0,40.0,50.0,46.0,42.0,40.0,31.0,49.0,42.0,39.0,37.0,45.0,45.0,34.0,30.0,45.0,42.0,41.0,35.0,40.0,29.0,38.0,33.0,34.0,30.0
17,50.0,50.0,49.0,49.0,46.0,40.0,38.0,27.0,33.0,50.0,50.0,49.0,44.0,34.0,37.0,50.0,48.0,46.0,36.0,32.0,50.0,42.0,39.0,30.0,47.0,42.0,31.0,29.0,47.0,38.0,42.0,36.0,43.0,31.0,42.0,36.0,31.0,37.0
18,50.0,50.0,50.0,49.0,46.0,39.0,40.0,33.0,31.0,50.0,50.0,42.0,43.0,39.0,32.0,50.0,46.0,45.0,35.0,36.0,49.0,44.0,38.0,33.0,49.0,41.0,35.0,32.0,46.0,33.0,40.0,41.0,43.0,35.0,41.0,34.0,35.0,29.0
19,50.0,50.0,48.0,48.0,45.0,43.0,39.0,38.0,37.0,50.0,50.0,43.0,48.0,46.0,31.0,50.0,47.0,45.0,38.0,32.0,49.0,43.0,36.0,32.0,47.0,44.0,35.0,35.0,45.0,42.0,40.0,41.0,41.0,30.0,39.0,38.0,32.0,28.0
20,50.0,50.0,48.0,47.0,50.0,46.0,42.0,36.0,34.0,50.0,50.0,45.0,41.0,39.0,34.0,50.0,48.0,44.0,43.0,32.0,48.0,45.0,36.0,31.0,48.0,45.0,36.0,32.0,45.0,42.0,42.0,40.0,39.0,32.0,38.0,37.0,38.0,35.0
21,50.0,50.0,48.0,49.0,47.0,41.0,37.0,36.0,26.0,50.0,50.0,48.0,41.0,37.0,31.0,50.0,46.0,43.0,36.0,33.0,49.0,45.0,37.0,27.0,49.0,38.0,36.0,28.0,45.0,39.0,41.0,35.0,37.0,33.0,37.0,41.0,34.0,33.0
22,50.0,50.0,49.0,46.0,48.0,43.0,45.0,37.0,32.0,50.0,50.0,46.0,44.0,33.0,40.0,50.0,48.0,47.0,36.0,24.0,49.0,41.0,40.0,31.0,49.0,40.0,30.0,30.0,43.0,39.0,44.0,38.0,42.0,35.0,34.0,31.0,37.0,36.0
23,50.0,50.0,50.0,48.0,48.0,44.0,41.0,32.0,29.0,50.0,50.0,45.0,44.0,41.0,33.0,50.0,50.0,38.0,42.0,30.0,50.0,43.0,38.0,32.0,45.0,45.0,28.0,31.0,44.0,40.0,41.0,38.0,38.0,28.0,37.0,35.0,37.0,33.0
24,50.0,50.0,50.0,48.0,47.0,42.0,40.0,36.0,26.0,50.0,50.0,46.0,46.0,39.0,31.0,50.0,48.0,41.0,41.0,34.0,48.0,44.0,41.0,33.0,46.0,37.0,28.0,28.0,46.0,41.0,39.0,35.0,43.0,38.0,43.0,36.0,33.0,35.0
25,50.0,50.0,50.0,48.0,47.0,40.0,35.0,41.0,31.0,50.0,50.0,42.0,44.0,37.0,33.0,50.0,49.0,42.0,40.0,30.0,50.0,39.0,44.0,26.0,48.0,38.0,31.0,30.0,47.0,42.0,38.0,32.0,42.0,33.0,39.0,38.0,35.0,35.0
